customer_state,total_orders,total_items,total_revenue,avg_item_price
SP,41375,47449,5202955.05,109.653629159729
RJ,12762,14579,1824092.67,125.11781809452
MG,11544,13129,1585308.03,120.748574148831
RS,5432,6235,750304.02,120.33745308741
PR,4998,5740,683083.76,119.004139372822
SC,3612,4176,520553.34,124.653577586207
BA,3358,3799,511349.99,134.601208212688
DF,2125,2406,302603.94,125.770548628429
GO,2007,2333,294591.95,126.271731675954
ES,2025,2256,275037.31,121.913701241135
PE,1648,1806,262788.03,145.508322259136
CE,1327,1478,227254.71,153.758261163735
PA,970,1080,178947.81,165.692416666667
MT,903,1055,156453.53,148.297184834123
MA,740,824,119648.22,145.204150485437
MS,709,819,116812.64,142.628376068376
PB,532,602,115268.08,191.475215946844
PI,493,542,86914.08,160.358081180812
RN,482,529,83034.98,156.965935727788
AL,411,444,80314.81,180.889211711712
SE,345,385,58920.85,153.041168831169
TO,279,315,49621.74,157.529333333333
RO,247,278,46140.64,165.973525179856
AM,147,165,22356.84,135.496
AC,81,92,15982.95,173.727717391304
AP,68,82,13474.3,164.320731707317
RR,46,52,7829.43,150.565961538462
