product_category,total_items,total_revenue,on_time_rate
health_beauty,9670,1258681.34,0.909369388401817
watches_gifts,5991,1205005.68,0.917193102270787
bed_bath_table,11115,1036988.68,0.916004747557747
sports_leisure,8641,988048.97,0.925868817459376
computers_accessories,7827,911954.32,0.922281826507916
furniture_decor,8334,729762.49,0.915686274509804
cool_stuff,3796,635290.85,0.93249058633674
housewares,6964,632248.66,0.935099337748344
auto,4235,592720.11,0.91712974148345
garden_tools,4347,485256.46,0.920337394564199
toys,4117,483946.6,0.925806451612903
baby,3065,411764.89,0.912139503688799
perfumery,3419,399124.87,0.926690604428486
telephony,4545,323667.53,0.916704288939052
office_furniture,1691,273960.7,0.910671462829736
stationery,2517,230943.23,0.91970802919708
computers,203,222963.13,0.934673366834171
pet_shop,1947,214315.41,0.938669438669439
musical_instruments,680,191498.88,0.913978494623656
small_appliances,679,190648.58,0.940729483282675
electronics,2767,160246.74,0.902528398680835
consoles_games,1137,157465.22,0.921946740128558
fashion_bags_accessories,2031,152823.54,0.937562940584089
construction_tools_construction,929,144677.59,0.919213973799127
luggage_accessories,1092,140429.98,0.946146703806871
home_appliances_2,238,113317.74,0.930735930735931
home_construction,604,83088.12,0.917785234899329
home_appliances,771,80171.53,0.93236074270557
agro_industry_and_commerce,212,72530.47,0.956310679611651
furniture_living_room,503,68916.56,0.921212121212121
fixed_telephony,264,59583.0,0.956862745098039
home_confort,434,58572.04,0.897435897435897
air_conditioning,297,55024.96,0.961937716262976
audio,364,50688.5,0.87292817679558
small_appliances_home_oven_and_coffee,76,47445.71,0.931506849315068
books_general_interest,553,46856.88,0.934701492537313
kitchen_dining_laundry_garden_furniture,281,46328.37,0.956204379562044
construction_tools_lights,304,41080.0,0.900332225913621
construction_tools_safety,194,40544.52,0.945355191256831
industry_commerce_and_business,268,39669.61,0.924242424242424
food,510,29393.41,0.901803607214429
market_place,311,28378.47,0.957377049180328
costruction_tools_garden,238,25715.89,0.926724137931034
art,209,24202.64,0.923857868020305
fashion_shoes,262,23562.77,0.941634241245136
drinks,379,22428.7,0.944598337950138
signaling_and_security,199,21509.23,0.944162436548223
furniture_bedroom,109,20028.78,0.922330097087379
books_technical,267,19096.06,0.889733840304182
costruction_tools_tools,103,15903.95,0.941747572815534
food_drink,278,15179.48,0.936802973977695
fashion_male_clothing,132,10797.82,0.944
fashion_underwear_beach,131,9541.55,0.874015748031496
christmas_supplies,153,8800.82,0.88
tablets_printing_image,83,7528.41,0.927710843373494
cine_photo,72,6933.46,0.928571428571429
music,38,6034.35,0.921052631578947
dvds_blu_ray,64,5999.39,0.934426229508197
books_imported,60,4639.85,0.964912280701754
party_supplies,43,4485.18,0.952380952380952
furniture_mattress_and_upholstery,38,4368.08,0.864864864864865
fashio_female_clothing,48,2803.64,0.933333333333333
fashion_sport,30,2119.51,0.931034482758621
la_cuisine,14,2054.99,1.0
arts_and_craftmanship,24,1814.01,0.916666666666667
diapers_and_hygiene,39,1567.59,0.972972972972973
flowers,33,1110.04,0.96969696969697
home_comfort_2,30,760.27,0.833333333333333
cds_dvds_musicals,14,730.0,1.0
fashion_childrens_clothes,8,569.85,1.0
security_and_services,2,283.29,1.0
