customer_state,product_category,total_items,total_revenue,category_rank
AC,sports_leisure,9,1677.46,1
AC,watches_gifts,4,1389.6,2
AC,health_beauty,7,1386.58,3
AL,health_beauty,63,12780.26,1
AL,watches_gifts,36,11683.27,2
AL,computers_accessories,41,7714.36,3
AM,health_beauty,20,2776.03,1
AM,garden_tools,5,1980.88,2
AM,computers_accessories,17,1960.74,3
AP,computers_accessories,9,2149.52,1
AP,watches_gifts,8,1639.8,2
AP,computers,1,1437.0,3
BA,health_beauty,350,51367.91,1
BA,watches_gifts,233,48885.59,2
BA,sports_leisure,293,38644.61,3
CE,health_beauty,167,32419.18,1
CE,watches_gifts,136,29285.24,2
CE,computers_accessories,93,12504.75,3
DF,watches_gifts,148,32730.37,1
DF,health_beauty,246,29862.82,2
DF,computers_accessories,163,25029.33,3
ES,watches_gifts,152,29461.0,1
ES,bed_bath_table,225,22678.65,2
ES,health_beauty,165,20214.49,3
GO,watches_gifts,147,33257.72,1
GO,health_beauty,229,28312.3,2
GO,bed_bath_table,235,22645.31,3
MA,health_beauty,89,12747.18,1
MA,computers_accessories,73,12581.43,2
MA,watches_gifts,61,9904.99,3
MG,health_beauty,1086,157558.3,1
MG,bed_bath_table,1331,129643.98,2
MG,watches_gifts,637,123759.23,3
MS,health_beauty,65,11289.57,1
MS,housewares,39,10861.74,2
MS,computers_accessories,63,9878.79,3
MT,health_beauty,90,15301.79,1
MT,watches_gifts,61,15006.91,2
MT,auto,56,10507.41,3
PA,health_beauty,107,23755.83,1
PA,watches_gifts,76,22559.82,2
PA,sports_leisure,85,12733.25,3
PB,health_beauty,78,16286.98,1
PB,watches_gifts,43,13388.88,2
PB,computers_accessories,54,7218.07,3
PE,health_beauty,240,41604.78,1
PE,watches_gifts,165,31049.78,2
PE,sports_leisure,149,20364.51,3
PI,health_beauty,54,10290.19,1
PI,auto,34,10134.68,2
PI,watches_gifts,41,7736.18,3
PR,watches_gifts,307,59967.04,1
PR,sports_leisure,486,58630.2,2
PR,health_beauty,425,54949.36,3
RJ,watches_gifts,874,185379.65,1
RJ,bed_bath_table,1644,148035.23,2
RJ,health_beauty,1064,145298.62,3
RN,health_beauty,58,13886.47,1
RN,watches_gifts,49,10160.42,2
RN,telephony,25,5303.29,3
RO,health_beauty,25,7085.76,1
RO,watches_gifts,15,4553.27,2
RO,sports_leisure,20,3321.88,3
RR,sports_leisure,8,1350.6,1
RR,health_beauty,7,1050.61,2
RR,baby,2,988.87,3
RS,bed_bath_table,614,60270.74,1
RS,furniture_decor,561,54813.58,2
RS,sports_leisure,475,53788.32,3
SC,sports_leisure,363,44116.9,1
SC,health_beauty,309,39760.16,2
SC,computers_accessories,320,37757.13,3
SE,health_beauty,40,8883.66,1
SE,cool_stuff,17,5686.67,2
SE,furniture_decor,25,4231.39,3
SP,bed_bath_table,5235,478284.52,1
SP,health_beauty,4204,462305.22,2
SP,watches_gifts,2281,435009.92,3
TO,watches_gifts,30,5446.89,1
TO,sports_leisure,25,5144.32,2
TO,health_beauty,36,4798.99,3
